ckpt_name,task_name,total_demos,total_success,sr
0.01_epoch=099.ckpt,insert_onto_square_peg_peract,200,12,[0.06]
0.01_epoch=199.ckpt,insert_onto_square_peg_peract,200,38,[0.19]
0.01_epoch=499.ckpt,insert_onto_square_peg_peract,200,33,[0.165]
0.01_epoch=599.ckpt,insert_onto_square_peg_peract,200,28,[0.14]
0.01_epoch=699.ckpt,insert_onto_square_peg_peract,200,39,[0.195]
0.01_epoch=799.ckpt,insert_onto_square_peg_peract,200,53,[0.265]
2025_01_23__22:10_sort_shape_0.005_epoch=399.ckpt,place_shape_in_shape_sorter_peract,50,10,[0.2]
2025_01_23__22:10_sort_shape_0.005_epoch=599.ckpt,place_shape_in_shape_sorter_peract,50,11,[0.22]
2025_01_23__22:10_sort_shape_0.005_epoch=799.ckpt,place_shape_in_shape_sorter_peract,50,15,[0.3]
2025_01_23__22:10_sort_shape_0.005_epoch=1199.ckpt,place_shape_in_shape_sorter_peract,50,19,[0.38]
2025_01_23__22:10_sort_shape_0.005_epoch=1599.ckpt,place_shape_in_shape_sorter_peract,100,37,[0.37]
2025_01_24__15:30_0.005_sort_shape_epoch=299.ckpt,place_shape_in_shape_sorter_peract,175,29,[0.1657142857142857]
2025_01_24__15:30_0.005_sort_shape_epoch=599.ckpt,place_shape_in_shape_sorter_peract,175,40,[0.22857142857142856]
2025_01_24__15:30_0.005_sort_shape_epoch=799.ckpt,place_shape_in_shape_sorter_peract,175,39,[0.22285714285714286]
2025_01_24__15:30_0.005_sort_shape_epoch=999.ckpt,place_shape_in_shape_sorter_peract,175,39,[0.22285714285714286]
2025_01_24__15:30_0.005_sort_shape_epoch=1399.ckpt,place_shape_in_shape_sorter_peract,175,40,[0.22857142857142856]
2025_01_24__15:30_0.005_sort_shape_epoch=1599.ckpt,place_shape_in_shape_sorter_peract,175,51,[0.2914285714285714]
2025_01_27__14:49_sort_shape_edge_epoch=1599.ckpt,place_shape_in_shape_sorter_peract,125,9,[0.072]
2025_01_28__00:48_sort_shape_edge_epoch=1199.ckpt,place_shape_in_shape_sorter_peract,125,5,[0.04]
2025_01_28__00:48_sort_shape_edge_epoch=1599.ckpt,place_shape_in_shape_sorter_peract,125,16,[0.128]
2025_01_28__14:22_exp_11_1_insert_peg_edge_epoch=799.ckpt,insert_onto_square_peg_peract,500,256,[0.512]
